asset_id,asset_type,department,section_id,location_code,criticality,status,installation_date,last_maintenance_date,next_due_date,condition_score
AST_000001,CULVERT,ENGINEERING,SEC_001,LOC_001,50.3,ACTIVE,2010-12-22,2026-03-08,2026-12-22,59.7
AST_000002,ISOLATOR,TRD,SEC_002,LOC_002,63.8,ACTIVE,2012-06-08,2026-06-21,2026-08-24,84.0
AST_000003,RELAY,S&T,SEC_003,LOC_004,55.7,ACTIVE,2015-08-05,2025-07-30,2026-11-30,94.0
AST_000004,TURNOUT,ENGINEERING,SEC_004,LOC_005,87.4,ACTIVE,2024-01-24,2026-08-16,2027-01-04,66.4
AST_000005,OHE,TRD,SEC_005,LOC_006,56.6,ACTIVE,2011-01-13,2025-09-08,2027-01-12,91.2
AST_000006,RELAY,S&T,SEC_006,LOC_007,94.3,ACTIVE,2006-10-14,2025-12-14,2026-07-14,75.4
AST_000007,TURNOUT,ENGINEERING,SEC_007,LOC_008,52.8,ACTIVE,2015-07-26,2026-08-11,2027-01-06,67.0
AST_000008,FEEDER,TRD,SEC_008,LOC_008,88.0,ACTIVE,2004-12-03,2026-06-03,2026-11-13,77.3
AST_000009,POINT_MACHINE,S&T,SEC_009,LOC_010,89.0,ACTIVE,2020-11-04,2026-02-21,2026-06-18,75.2
AST_000010,POINTS,ENGINEERING,SEC_010,LOC_011,83.3,ACTIVE,2013-07-23,2025-08-10,2026-12-28,45.7
AST_000011,SWITCHING_EQUIPMENT,TRD,SEC_001,LOC_002,69.6,ACTIVE,2013-05-06,2025-07-29,2026-08-17,77.4
AST_000012,TRACK_CIRCUIT,S&T,SEC_002,LOC_002,62.0,ACTIVE,2024-02-09,2026-03-09,2026-06-22,73.1
AST_000013,BRIDGE,ENGINEERING,SEC_003,LOC_004,54.3,ACTIVE,2012-07-14,2025-11-11,2027-01-10,77.3
AST_000014,FEEDER,TRD,SEC_004,LOC_005,44.4,ACTIVE,2011-06-09,2025-09-14,2026-08-18,59.4
AST_000015,RELAY,S&T,SEC_005,LOC_005,53.9,ACTIVE,2022-07-22,2026-03-11,2026-06-29,88.6
AST_000016,BRIDGE,ENGINEERING,SEC_006,LOC_006,55.3,ACTIVE,2018-08-29,2026-02-08,2026-08-19,88.8
AST_000017,SUBSTATION,TRD,SEC_007,LOC_007,66.6,ACTIVE,2011-10-29,2025-07-30,2026-07-22,95.3
AST_000018,INTERLOCKING_EQUIPMENT,S&T,SEC_008,LOC_009,94.2,OUT_OF_SERVICE,2013-05-01,2026-05-31,2026-09-10,67.7
AST_000019,BRIDGE,ENGINEERING,SEC_009,LOC_009,79.6,ACTIVE,2021-02-05,2026-05-24,2026-09-11,64.7
AST_000020,ISOLATOR,TRD,SEC_010,LOC_005,63.2,ACTIVE,2017-02-24,2026-01-22,2026-12-13,92.1
AST_000021,SIGNAL,S&T,SEC_001,LOC_001,42.9,ACTIVE,2015-06-12,2025-09-20,2026-09-17,86.8
AST_000022,TURNOUT,ENGINEERING,SEC_002,LOC_002,76.5,ACTIVE,2005-03-13,2026-03-06,2026-12-04,93.7
AST_000023,FEEDER,TRD,SEC_003,LOC_003,55.6,ACTIVE,2010-06-10,2026-05-14,2026-09-01,59.3
AST_000024,INTERLOCKING_EQUIPMENT,S&T,SEC_004,LOC_005,66.7,ACTIVE,2012-10-19,2026-01-25,2026-12-04,94.6
AST_000025,TURNOUT,ENGINEERING,SEC_005,LOC_006,94.7,ACTIVE,2022-10-12,2026-03-12,2026-07-07,85.4
AST_000026,ISOLATOR,TRD,SEC_006,LOC_006,79.3,ACTIVE,2024-07-09,2026-08-21,2026-12-06,95.9
AST_000027,POINT_MACHINE,S&T,SEC_007,LOC_007,50.8,ACTIVE,2024-08-19,2026-07-14,2026-09-26,57.0
AST_000028,CULVERT,ENGINEERING,SEC_008,LOC_009,49.5,DEGRADED,2014-09-22,2026-01-25,2026-08-23,57.4
AST_000029,SWITCHING_EQUIPMENT,TRD,SEC_009,LOC_010,88.2,ACTIVE,2015-05-26,2025-10-08,2026-08-14,76.8
AST_000030,TRACK_CIRCUIT,S&T,SEC_010,LOC_005,88.6,ACTIVE,2022-08-28,2026-08-17,2026-11-19,97.5
AST_000031,TURNOUT,ENGINEERING,SEC_001,LOC_002,40.4,ACTIVE,2016-04-17,2025-08-06,2026-08-08,85.6
AST_000032,SUBSTATION,TRD,SEC_002,LOC_002,72.1,ACTIVE,2012-04-21,2025-11-29,2026-07-28,90.6
AST_000033,TRACK_CIRCUIT,S&T,SEC_003,LOC_003,80.7,ACTIVE,2006-01-14,2025-10-25,2026-08-06,79.7
AST_000034,CULVERT,ENGINEERING,SEC_004,LOC_004,82.4,ACTIVE,2023-02-14,2026-03-11,2026-08-18,70.3
AST_000035,ISOLATOR,TRD,SEC_005,LOC_006,84.2,ACTIVE,2020-02-23,2026-06-22,2026-10-25,47.5
AST_000036,SIGNAL,S&T,SEC_006,LOC_007,78.2,ACTIVE,2018-04-28,2026-02-12,2026-07-17,51.6
AST_000037,TURNOUT,ENGINEERING,SEC_007,LOC_008,81.9,ACTIVE,2017-10-09,2025-11-03,2026-12-14,64.2
AST_000038,SWITCHING_EQUIPMENT,TRD,SEC_008,LOC_008,95.1,DEGRADED,2005-11-06,2025-09-13,2026-07-16,78.2
AST_000039,SIGNAL,S&T,SEC_009,LOC_010,91.8,ACTIVE,2012-04-01,2026-04-23,2026-11-07,53.1
AST_000040,TRACK,ENGINEERING,SEC_010,LOC_005,49.9,ACTIVE,2014-09-28,2025-10-28,2026-09-25,63.5
AST_000041,FEEDER,TRD,SEC_001,LOC_001,89.8,ACTIVE,2007-04-07,2026-07-10,2027-01-04,62.8
AST_000042,INTERLOCKING_EQUIPMENT,S&T,SEC_002,LOC_002,44.5,DEGRADED,2011-03-05,2025-09-03,2026-07-27,46.5
AST_000043,TURNOUT,ENGINEERING,SEC_003,LOC_004,70.1,ACTIVE,2020-11-25,2026-07-20,2026-09-12,76.6
AST_000044,SUBSTATION,TRD,SEC_004,LOC_004,56.3,OUT_OF_SERVICE,2009-11-01,2026-01-04,2026-12-04,94.9
AST_000045,SIGNAL,S&T,SEC_005,LOC_006,42.3,OUT_OF_SERVICE,2007-07-15,2026-06-18,2026-09-18,92.7
AST_000046,TURNOUT,ENGINEERING,SEC_006,LOC_007,52.0,ACTIVE,2012-11-16,2026-01-07,2026-09-27,63.0
AST_000047,SUBSTATION,TRD,SEC_007,LOC_008,84.5,ACTIVE,2016-09-19,2025-07-21,2026-07-13,62.6
AST_000048,SIGNAL,S&T,SEC_008,LOC_009,56.3,ACTIVE,2011-12-12,2026-04-22,2026-10-20,79.6
AST_000049,TURNOUT,ENGINEERING,SEC_009,LOC_010,67.6,ACTIVE,2008-06-03,2025-10-07,2026-09-05,89.0
AST_000050,FEEDER,TRD,SEC_010,LOC_005,88.2,ACTIVE,2007-01-14,2026-03-24,2026-08-13,87.6
