location_id,station_code,name,latitude,longitude
LOC_001,STN001,Synthetic Junction 01,20.065353,77.100362
LOC_002,STN002,Synthetic Junction 02,20.139995,77.209510
LOC_003,STN003,Synthetic Junction 03,20.211685,77.291323
LOC_004,STN004,Synthetic Junction 04,20.289703,77.396608
LOC_005,STN005,Synthetic Junction 05,20.343714,77.495223
LOC_006,STN006,Synthetic Junction 06,20.419828,77.604585
LOC_007,STN007,Synthetic Junction 07,20.496294,77.702706
LOC_008,STN008,Synthetic Junction 08,20.552168,77.790248
LOC_009,STN009,Synthetic Junction 09,20.626645,77.901021
LOC_010,STN010,Synthetic Junction 10,20.706383,78.002871
LOC_011,STN011,Synthetic Junction 11,20.779755,78.098252
LOC_012,STN012,Synthetic Junction 12,20.831124,78.203610
LOC_013,STN013,Synthetic Junction 13,20.912868,78.296490
LOC_014,STN014,Synthetic Junction 14,20.970913,78.399972
LOC_015,STN015,Synthetic Junction 15,21.058798,78.501763
LOC_016,STN016,Synthetic Junction 16,21.129171,78.599237
LOC_017,STN017,Synthetic Junction 17,21.188523,78.692031
LOC_018,STN018,Synthetic Junction 18,21.257265,78.800639
LOC_019,STN019,Synthetic Junction 19,21.322343,78.901669
LOC_020,STN020,Synthetic Junction 20,21.390242,78.997231
