resource_id,resource_type,department,section_id,capacity,availability_start,availability_end,status,skills,resource_name,home_location_id
RES_0001,SPECIALIST,ENGINEERING,SEC_001,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L3,Synthetic Shared Specialist 01,LOC_016
RES_0002,TECHNICIAN,TRD,SEC_002,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L2,Synthetic Technician 02,LOC_003
RES_0003,ENGINEER,S&T,SEC_007,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L2,Synthetic Engineer 03,LOC_008
RES_0004,EQUIPMENT,ENGINEERING,SEC_001,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Equipment 04,LOC_017
RES_0005,MAINTENANCE_TEAM,TRD,SEC_010,4,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Maintenance_Team 05,LOC_011
RES_0006,MAINTENANCE_TEAM,S&T,SEC_001,4,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L3,Synthetic Maintenance_Team 06,LOC_012
RES_0007,EQUIPMENT,ENGINEERING,SEC_001,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Equipment 07,LOC_016
RES_0008,EQUIPMENT,TRD,SEC_004,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Equipment 08,LOC_005
RES_0009,EQUIPMENT,S&T,SEC_009,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L3,Synthetic Equipment 09,LOC_010
RES_0010,SPECIALIST,ENGINEERING,SEC_001,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L3,Synthetic Specialist 10,LOC_017
RES_0011,TECHNICIAN,TRD,SEC_008,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Technician 11,LOC_009
RES_0012,MAINTENANCE_TEAM,S&T,SEC_002,4,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Maintenance_Team 12,LOC_003
RES_0013,ENGINEER,ENGINEERING,SEC_002,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Engineer 13,LOC_003
RES_0014,TECHNICIAN,TRD,SEC_007,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Technician 14,LOC_008
RES_0015,TECHNICIAN,S&T,SEC_008,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L3,Synthetic Technician 15,LOC_009
RES_0016,EQUIPMENT,ENGINEERING,SEC_001,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L2,Synthetic Equipment 16,LOC_020
RES_0017,MAINTENANCE_TEAM,TRD,SEC_001,4,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L3,Synthetic Maintenance_Team 17,LOC_015
RES_0018,TECHNICIAN,S&T,SEC_001,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L3,Synthetic Technician 18,LOC_015
RES_0019,EQUIPMENT,ENGINEERING,SEC_005,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Equipment 19,LOC_006
RES_0020,SPECIALIST,TRD,SEC_001,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Specialist 20,LOC_017
RES_0021,EQUIPMENT,S&T,SEC_004,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Equipment 21,LOC_005
RES_0022,TECHNICIAN,ENGINEERING,SEC_001,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L2,Synthetic Technician 22,LOC_019
RES_0023,EQUIPMENT,TRD,SEC_001,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L3,Synthetic Equipment 23,LOC_018
RES_0024,SPECIALIST,S&T,SEC_001,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Specialist 24,LOC_016
RES_0025,EQUIPMENT,ENGINEERING,SEC_001,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L2,Synthetic Equipment 25,LOC_012
RES_0026,SPECIALIST,TRD,SEC_010,1,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L1,Synthetic Specialist 26,LOC_011
RES_0027,MAINTENANCE_TEAM,S&T,SEC_001,4,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L2,Synthetic Maintenance_Team 27,LOC_015
RES_0028,MAINTENANCE_TEAM,ENGINEERING,SEC_009,4,2026-09-14 00:00:00,2026-09-20 23:59:00,AVAILABLE,L2,Synthetic Maintenance_Team 28,LOC_010
RES_0029,SPECIALIST,TRD,SEC_005,1,2026-09-14 00:00:00,2026-09-20 23:59:00,UNAVAILABLE,L1,Synthetic Specialist 29,LOC_006
RES_0030,TECHNICIAN,S&T,SEC_002,1,2026-09-14 00:00:00,2026-09-20 23:59:00,UNAVAILABLE,L3,Synthetic Technician 30,LOC_003
