edge_id,section_id,from_location_id,to_location_id,directionality
EDGE_001,SEC_001,LOC_001,LOC_002,BIDIRECTIONAL
EDGE_002,SEC_002,LOC_002,LOC_003,BIDIRECTIONAL
EDGE_003,SEC_003,LOC_003,LOC_004,BIDIRECTIONAL
EDGE_004,SEC_004,LOC_004,LOC_005,BIDIRECTIONAL
EDGE_005,SEC_005,LOC_005,LOC_006,BIDIRECTIONAL
EDGE_006,SEC_006,LOC_006,LOC_007,BIDIRECTIONAL
EDGE_007,SEC_007,LOC_007,LOC_008,BIDIRECTIONAL
EDGE_008,SEC_008,LOC_008,LOC_009,BIDIRECTIONAL
EDGE_009,SEC_009,LOC_009,LOC_010,BIDIRECTIONAL
EDGE_010,SEC_010,LOC_005,LOC_011,BIDIRECTIONAL
