section_id,section_code,from_location_id,to_location_id,length_km,track_count,electrified,operational_status
SEC_001,SEC001,LOC_001,LOC_002,22.7,2,TRUE,ACTIVE
SEC_002,SEC002,LOC_002,LOC_003,19.3,1,TRUE,ACTIVE
SEC_003,SEC003,LOC_003,LOC_004,18.7,2,TRUE,ACTIVE
SEC_004,SEC004,LOC_004,LOC_005,8.2,2,TRUE,ACTIVE
SEC_005,SEC005,LOC_005,LOC_006,23.3,1,TRUE,ACTIVE
SEC_006,SEC006,LOC_006,LOC_007,13.4,2,TRUE,ACTIVE
SEC_007,SEC007,LOC_007,LOC_008,28.1,2,TRUE,ACTIVE
SEC_008,SEC008,LOC_008,LOC_009,26.0,1,TRUE,ACTIVE
SEC_009,SEC009,LOC_009,LOC_010,20.4,1,TRUE,ACTIVE
SEC_010,SEC010,LOC_005,LOC_011,17.7,1,TRUE,ACTIVE
