defect_id,asset_id,department,section_id,location_code,defect_type,severity,urgency,reported_time,status,target_resolution_time,is_overdue,repeat_defect,estimated_impact,recommended_action
DEF_000001,AST_000012,S&T,SEC_002,LOC_002,WEAR,CRITICAL,CRITICAL,2026-04-15,OPEN,04:00,TRUE,TRUE,0.354,TEST
DEF_000002,AST_000023,TRD,SEC_003,LOC_003,CORROSION,MEDIUM,MEDIUM,2026-08-28,RESOLVED,24:00,FALSE,TRUE,0.594,INSPECT
DEF_000003,AST_000034,ENGINEERING,SEC_004,LOC_004,SIGNAL_FAULT,HIGH,HIGH,2026-04-09,RESOLVED,12:00,FALSE,FALSE,0.41,REPLACE
DEF_000004,AST_000045,S&T,SEC_005,LOC_006,CORROSION,MEDIUM,MEDIUM,2026-04-19,OPEN,24:00,TRUE,FALSE,0.678,INSPECT
DEF_000005,AST_000006,S&T,SEC_006,LOC_007,INSULATION_DEGRADATION,HIGH,HIGH,2026-06-25,RESOLVED,12:00,FALSE,TRUE,0.787,REPAIR
DEF_000006,AST_000017,TRD,SEC_007,LOC_007,ELECTRICAL_FAULT,MEDIUM,MEDIUM,2026-04-14,OPEN,24:00,TRUE,FALSE,0.678,INSPECT
DEF_000007,AST_000028,ENGINEERING,SEC_008,LOC_009,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-07-19,OPEN,24:00,TRUE,FALSE,0.775,TEST
DEF_000008,AST_000039,S&T,SEC_009,LOC_010,OTHER,LOW,LOW,2026-04-19,OPEN,72:00,TRUE,TRUE,0.372,INSPECT
DEF_000009,AST_000050,TRD,SEC_010,LOC_005,SIGNAL_FAULT,LOW,LOW,2026-04-02,OPEN,72:00,TRUE,FALSE,0.729,REPAIR
DEF_000010,AST_000011,TRD,SEC_001,LOC_002,OTHER,MEDIUM,MEDIUM,2026-08-29,OPEN,24:00,TRUE,TRUE,0.837,REPLACE
DEF_000011,AST_000022,ENGINEERING,SEC_002,LOC_002,OTHER,CRITICAL,CRITICAL,2026-08-30,OPEN,04:00,TRUE,FALSE,0.303,REPLACE
DEF_000012,AST_000033,S&T,SEC_003,LOC_003,ELECTRICAL_FAULT,HIGH,HIGH,2026-09-05,RESOLVED,12:00,FALSE,TRUE,0.526,TEST
DEF_000013,AST_000044,TRD,SEC_004,LOC_004,ALIGNMENT,MEDIUM,MEDIUM,2026-08-13,MONITORED,24:00,TRUE,FALSE,0.29,REPLACE
DEF_000014,AST_000005,TRD,SEC_005,LOC_006,WEAR,MEDIUM,MEDIUM,2026-07-09,RESOLVED,24:00,FALSE,FALSE,0.137,TEST
DEF_000015,AST_000016,ENGINEERING,SEC_006,LOC_006,OTHER,CRITICAL,CRITICAL,2026-07-21,OPEN,04:00,TRUE,TRUE,0.287,REPAIR
DEF_000016,AST_000027,S&T,SEC_007,LOC_007,INSULATION_DEGRADATION,LOW,LOW,2026-06-07,RESOLVED,72:00,FALSE,FALSE,0.907,REPAIR
DEF_000017,AST_000038,TRD,SEC_008,LOC_008,SIGNAL_FAULT,HIGH,HIGH,2026-08-15,OPEN,12:00,TRUE,FALSE,0.063,REPAIR
DEF_000018,AST_000049,ENGINEERING,SEC_009,LOC_010,SIGNAL_FAULT,HIGH,HIGH,2026-07-20,RESOLVED,12:00,FALSE,TRUE,0.153,REPLACE
DEF_000019,AST_000010,ENGINEERING,SEC_010,LOC_011,SIGNAL_FAULT,MEDIUM,MEDIUM,2026-03-24,RESOLVED,24:00,FALSE,FALSE,0.521,REPLACE
DEF_000020,AST_000021,S&T,SEC_001,LOC_001,ALIGNMENT,HIGH,HIGH,2026-05-12,OPEN,12:00,TRUE,TRUE,0.2,REPAIR
DEF_000021,AST_000032,TRD,SEC_002,LOC_002,WEAR,MEDIUM,MEDIUM,2026-06-21,RESOLVED,24:00,FALSE,FALSE,0.133,REPAIR
DEF_000022,AST_000043,ENGINEERING,SEC_003,LOC_004,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-06-18,RESOLVED,24:00,FALSE,TRUE,0.489,REPAIR
DEF_000023,AST_000004,ENGINEERING,SEC_004,LOC_005,ELECTRICAL_FAULT,HIGH,HIGH,2026-08-25,MONITORED,12:00,TRUE,TRUE,0.866,REPAIR
DEF_000024,AST_000015,S&T,SEC_005,LOC_005,CORROSION,MEDIUM,MEDIUM,2026-08-21,RESOLVED,24:00,FALSE,TRUE,0.516,TEST
DEF_000025,AST_000026,TRD,SEC_006,LOC_006,SIGNAL_FAULT,HIGH,HIGH,2026-03-25,OPEN,12:00,TRUE,TRUE,0.785,INSPECT
DEF_000026,AST_000037,ENGINEERING,SEC_007,LOC_008,CORROSION,MEDIUM,MEDIUM,2026-05-19,OPEN,24:00,TRUE,FALSE,0.073,REPLACE
DEF_000027,AST_000048,S&T,SEC_008,LOC_009,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-05-27,MONITORED,24:00,TRUE,FALSE,0.401,REPAIR
DEF_000028,AST_000009,S&T,SEC_009,LOC_010,ALIGNMENT,MEDIUM,MEDIUM,2026-07-02,OPEN,24:00,TRUE,FALSE,0.539,TEST
DEF_000029,AST_000020,TRD,SEC_010,LOC_005,WEAR,MEDIUM,MEDIUM,2026-08-05,OPEN,24:00,TRUE,TRUE,0.427,INSPECT
DEF_000030,AST_000031,ENGINEERING,SEC_001,LOC_002,ELECTRICAL_FAULT,MEDIUM,MEDIUM,2026-09-01,OPEN,24:00,TRUE,TRUE,0.835,INSPECT
DEF_000031,AST_000042,S&T,SEC_002,LOC_002,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-06-23,OPEN,24:00,TRUE,TRUE,0.759,TEST
DEF_000032,AST_000003,S&T,SEC_003,LOC_004,ELECTRICAL_FAULT,LOW,LOW,2026-04-20,OPEN,72:00,TRUE,FALSE,0.476,REPLACE
DEF_000033,AST_000014,TRD,SEC_004,LOC_005,ELECTRICAL_FAULT,HIGH,HIGH,2026-04-24,OPEN,12:00,TRUE,FALSE,0.377,REPAIR
DEF_000034,AST_000025,ENGINEERING,SEC_005,LOC_006,SIGNAL_FAULT,MEDIUM,MEDIUM,2026-04-02,OPEN,24:00,TRUE,TRUE,0.478,TEST
DEF_000035,AST_000036,S&T,SEC_006,LOC_007,CORROSION,HIGH,HIGH,2026-07-18,RESOLVED,12:00,FALSE,FALSE,0.574,REPLACE
DEF_000036,AST_000047,TRD,SEC_007,LOC_008,OTHER,MEDIUM,MEDIUM,2026-03-28,OPEN,24:00,TRUE,FALSE,0.219,TEST
DEF_000037,AST_000008,TRD,SEC_008,LOC_008,SIGNAL_FAULT,HIGH,HIGH,2026-06-13,MONITORED,12:00,TRUE,TRUE,0.606,TEST
DEF_000038,AST_000019,ENGINEERING,SEC_009,LOC_009,INSULATION_DEGRADATION,MEDIUM,MEDIUM,2026-04-06,OPEN,24:00,TRUE,FALSE,0.741,TEST
DEF_000039,AST_000030,S&T,SEC_010,LOC_005,INSULATION_DEGRADATION,LOW,LOW,2026-07-12,OPEN,72:00,TRUE,TRUE,0.429,REPLACE
DEF_000040,AST_000041,TRD,SEC_001,LOC_001,ELECTRICAL_FAULT,HIGH,HIGH,2026-09-06,OPEN,12:00,TRUE,TRUE,0.867,TEST
DEF_000041,AST_000002,TRD,SEC_002,LOC_002,INSULATION_DEGRADATION,HIGH,HIGH,2026-09-06,OPEN,12:00,TRUE,TRUE,0.084,REPAIR
DEF_000042,AST_000013,ENGINEERING,SEC_003,LOC_004,OTHER,HIGH,HIGH,2026-04-07,OPEN,12:00,TRUE,FALSE,0.615,REPAIR
DEF_000043,AST_000024,S&T,SEC_004,LOC_005,SIGNAL_FAULT,MEDIUM,MEDIUM,2026-07-07,OPEN,24:00,TRUE,FALSE,0.69,REPAIR
DEF_000044,AST_000035,TRD,SEC_005,LOC_006,ALIGNMENT,LOW,LOW,2026-08-09,OPEN,72:00,TRUE,FALSE,0.54,INSPECT
DEF_000045,AST_000046,ENGINEERING,SEC_006,LOC_007,CORROSION,LOW,LOW,2026-04-03,OPEN,72:00,TRUE,FALSE,0.294,REPLACE
DEF_000046,AST_000007,ENGINEERING,SEC_007,LOC_008,SIGNAL_FAULT,LOW,LOW,2026-05-14,OPEN,72:00,TRUE,FALSE,0.631,INSPECT
DEF_000047,AST_000018,S&T,SEC_008,LOC_009,OTHER,MEDIUM,MEDIUM,2026-05-13,OPEN,24:00,TRUE,TRUE,0.383,REPAIR
DEF_000048,AST_000029,TRD,SEC_009,LOC_010,WEAR,MEDIUM,MEDIUM,2026-09-10,RESOLVED,24:00,FALSE,TRUE,0.295,TEST
DEF_000049,AST_000040,ENGINEERING,SEC_010,LOC_005,SIGNAL_FAULT,LOW,LOW,2026-09-12,MONITORED,72:00,TRUE,FALSE,0.244,INSPECT
DEF_000050,AST_000001,ENGINEERING,SEC_001,LOC_001,ALIGNMENT,HIGH,HIGH,2026-07-04,RESOLVED,12:00,FALSE,TRUE,0.461,TEST
