dependency_id,predecessor_task_id,successor_task_id,dependency_type,minimum_gap_min,mandatory
DEP_000001,TASK_000043,TASK_000443,FINISH_TO_START,30,False
DEP_000002,TASK_000143,TASK_000443,FINISH_TO_START,30,True
DEP_000003,TASK_000143,TASK_000493,FINISH_TO_START,30,True
DEP_000004,TASK_000343,TASK_000493,FINISH_TO_START,30,True
DEP_000005,TASK_000293,TASK_000343,FINISH_TO_START,30,False
DEP_000006,TASK_000093,TASK_000293,FINISH_TO_START,30,True
DEP_000007,TASK_000093,TASK_000243,FINISH_TO_START,30,True
DEP_000008,TASK_000243,TASK_000393,FINISH_TO_START,30,True
DEP_000009,TASK_000193,TASK_000393,FINISH_TO_START,30,False
DEP_000010,TASK_000136,TASK_000236,FINISH_TO_START,30,True
DEP_000011,TASK_000136,TASK_000336,FINISH_TO_START,30,True
DEP_000012,TASK_000086,TASK_000336,FINISH_TO_START,30,True
DEP_000013,TASK_000086,TASK_000186,FINISH_TO_START,30,False
DEP_000014,TASK_000186,TASK_000286,FINISH_TO_START,30,True
DEP_000015,TASK_000286,TASK_000386,FINISH_TO_START,30,True
DEP_000016,TASK_000386,TASK_000436,FINISH_TO_START,30,True
DEP_000017,TASK_000036,TASK_000436,FINISH_TO_START,30,False
DEP_000018,TASK_000036,TASK_000486,FINISH_TO_START,30,True
DEP_000019,TASK_000229,TASK_000479,FINISH_TO_START,30,True
DEP_000020,TASK_000329,TASK_000479,FINISH_TO_START,30,True
DEP_000021,TASK_000179,TASK_000329,FINISH_TO_START,30,False
DEP_000022,TASK_000079,TASK_000179,FINISH_TO_START,30,True
DEP_000023,TASK_000079,TASK_000379,FINISH_TO_START,30,True
DEP_000024,TASK_000129,TASK_000379,FINISH_TO_START,30,True
DEP_000025,TASK_000029,TASK_000129,FINISH_TO_START,30,False
DEP_000026,TASK_000029,TASK_000279,FINISH_TO_START,30,True
DEP_000027,TASK_000279,TASK_000429,FINISH_TO_START,30,True
DEP_000028,TASK_000072,TASK_000372,FINISH_TO_START,30,True
DEP_000029,TASK_000072,TASK_000322,FINISH_TO_START,30,False
DEP_000030,TASK_000322,TASK_000422,FINISH_TO_START,30,True
DEP_000031,TASK_000022,TASK_000422,FINISH_TO_START,30,True
DEP_000032,TASK_000022,TASK_000472,FINISH_TO_START,30,True
DEP_000033,TASK_000272,TASK_000472,FINISH_TO_START,30,False
DEP_000034,TASK_000172,TASK_000272,FINISH_TO_START,30,True
DEP_000035,TASK_000122,TASK_000172,FINISH_TO_START,30,True
DEP_000036,TASK_000122,TASK_000222,FINISH_TO_START,30,True
DEP_000037,TASK_000065,TASK_000215,FINISH_TO_START,30,False
DEP_000038,TASK_000215,TASK_000365,FINISH_TO_START,30,True
DEP_000039,TASK_000365,TASK_000415,FINISH_TO_START,30,True
DEP_000040,TASK_000165,TASK_000415,FINISH_TO_START,30,True
DEP_000041,TASK_000165,TASK_000465,FINISH_TO_START,30,False
DEP_000042,TASK_000265,TASK_000465,FINISH_TO_START,30,True
DEP_000043,TASK_000115,TASK_000265,FINISH_TO_START,30,True
DEP_000044,TASK_000115,TASK_000315,FINISH_TO_START,30,True
DEP_000045,TASK_000015,TASK_000315,FINISH_TO_START,30,False
DEP_000046,TASK_000208,TASK_000358,FINISH_TO_START,30,True
DEP_000047,TASK_000008,TASK_000358,FINISH_TO_START,30,True
DEP_000048,TASK_000008,TASK_000158,FINISH_TO_START,30,True
DEP_000049,TASK_000158,TASK_000258,FINISH_TO_START,30,False
DEP_000050,TASK_000258,TASK_000308,FINISH_TO_START,30,True
DEP_000051,TASK_000308,TASK_000408,FINISH_TO_START,30,True
DEP_000052,TASK_000408,TASK_000458,FINISH_TO_START,30,True
DEP_000053,TASK_000108,TASK_000458,FINISH_TO_START,30,False
DEP_000054,TASK_000058,TASK_000108,FINISH_TO_START,30,True
DEP_000055,TASK_000051,TASK_000101,FINISH_TO_START,30,True
DEP_000056,TASK_000051,TASK_000401,FINISH_TO_START,30,True
DEP_000057,TASK_000351,TASK_000401,FINISH_TO_START,30,False
DEP_000058,TASK_000001,TASK_000351,FINISH_TO_START,30,True
DEP_000059,TASK_000001,TASK_000251,FINISH_TO_START,30,True
DEP_000060,TASK_000251,TASK_000451,FINISH_TO_START,30,True
DEP_000061,TASK_000151,TASK_000451,FINISH_TO_START,30,False
DEP_000062,TASK_000151,TASK_000301,FINISH_TO_START,30,True
DEP_000063,TASK_000201,TASK_000301,FINISH_TO_START,30,True
DEP_000064,TASK_000094,TASK_000294,FINISH_TO_START,30,True
DEP_000065,TASK_000094,TASK_000394,FINISH_TO_START,30,False
DEP_000066,TASK_000244,TASK_000394,FINISH_TO_START,30,True
DEP_000067,TASK_000044,TASK_000244,FINISH_TO_START,30,True
DEP_000068,TASK_000044,TASK_000344,FINISH_TO_START,30,True
DEP_000069,TASK_000344,TASK_000494,FINISH_TO_START,30,False
DEP_000070,TASK_000144,TASK_000494,FINISH_TO_START,30,True
DEP_000071,TASK_000144,TASK_000194,FINISH_TO_START,30,True
DEP_000072,TASK_000194,TASK_000444,FINISH_TO_START,30,True
DEP_000073,TASK_000137,TASK_000437,FINISH_TO_START,30,False
DEP_000074,TASK_000137,TASK_000287,FINISH_TO_START,30,True
DEP_000075,TASK_000037,TASK_000287,FINISH_TO_START,30,True
DEP_000076,TASK_000037,TASK_000237,FINISH_TO_START,30,True
DEP_000077,TASK_000237,TASK_000487,FINISH_TO_START,30,False
DEP_000078,TASK_000337,TASK_000487,FINISH_TO_START,30,True
DEP_000079,TASK_000187,TASK_000337,FINISH_TO_START,30,True
DEP_000080,TASK_000087,TASK_000187,FINISH_TO_START,30,True
DEP_000081,TASK_000087,TASK_000387,FINISH_TO_START,30,False
DEP_000082,TASK_000180,TASK_000480,FINISH_TO_START,30,True
DEP_000083,TASK_000080,TASK_000480,FINISH_TO_START,30,True
DEP_000084,TASK_000080,TASK_000380,FINISH_TO_START,30,True
