task_id,asset_id,department,task_type,maintenance_type,section_id,location_code,description,reported_date,due_date,estimated_duration_min,status,criticality,urgency,operational_impact,can_be_rescheduled,priority_score,priority_category,required_block_type,is_overdue,source_defect_id,base_priority_score,priority_source,priority_override_reason
TASK_000001,AST_000007,ENGINEERING,INSPECTION,INSPECTION,SEC_007,LOC_008,Synthetic turnout maintenance activity,2026-05-07,2026-09-04,90,PENDING,52.8,100.0,43.2,TRUE,96.0,CRITICAL,TRAFFIC_BLOCK,TRUE,,69.28,MANUAL_OVERRIDE,Synthetic critical-case override for prototype edge-case coverage.
TASK_000002,AST_000014,TRD,REPAIR,REPAIR,SEC_004,LOC_005,Synthetic feeder maintenance activity,2026-02-27,2026-09-03,180,SCHEDULED,44.4,100.0,53.3,TRUE,95.0,CRITICAL,POWER_BLOCK,TRUE,,68.86,MANUAL_OVERRIDE,Synthetic critical-case override for prototype edge-case coverage.
TASK_000003,AST_000021,S&T,REPLACEMENT,REPLACEMENT,SEC_001,LOC_001,Synthetic signal maintenance activity,2026-06-21,2026-09-02,60,CANCELLED,42.9,23.0,23.4,FALSE,94.0,CRITICAL,SIGNAL_BLOCK,TRUE,DEF_000270,37.76,MANUAL_OVERRIDE,Synthetic critical-case override for prototype edge-case coverage.
TASK_000004,AST_000028,ENGINEERING,TESTING,TESTING,SEC_008,LOC_009,Synthetic culvert maintenance activity,2026-09-01,2026-09-01,180,PENDING,49.5,9.3,56.3,TRUE,93.0,CRITICAL,TRAFFIC_BLOCK,TRUE,,44.19,MANUAL_OVERRIDE,Synthetic critical-case override for prototype edge-case coverage.
TASK_000005,AST_000035,TRD,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_005,LOC_006,Synthetic isolator maintenance activity,2026-05-28,2026-08-31,180,COMPLETED,84.2,69.1,69.0,FALSE,92.0,CRITICAL,POWER_BLOCK,TRUE,,77.45,MANUAL_OVERRIDE,Synthetic critical-case override for prototype edge-case coverage.
TASK_000006,AST_000042,S&T,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_002,LOC_002,Synthetic interlocking_equipment maintenance activity,2026-08-30,2026-10-07,60,COMPLETED,44.5,10.5,59.8,FALSE,33.67,LOW,SIGNAL_BLOCK,FALSE,,33.67,RULE_BASED,
TASK_000007,AST_000049,ENGINEERING,INSPECTION,INSPECTION,SEC_009,LOC_010,Synthetic turnout maintenance activity,2026-08-08,2026-08-18,60,PENDING,67.6,89.0,32.4,TRUE,68.46,HIGH,TRAFFIC_BLOCK,TRUE,,68.46,RULE_BASED,
TASK_000008,AST_000006,S&T,REPAIR,REPAIR,SEC_006,LOC_007,Synthetic relay maintenance activity,2026-07-24,2026-08-17,300,IN_PROGRESS,94.3,92.5,52.2,FALSE,83.8,CRITICAL,SIGNAL_BLOCK,TRUE,DEF_000255,83.8,RULE_BASED,
TASK_000009,AST_000013,ENGINEERING,REPLACEMENT,REPLACEMENT,SEC_003,LOC_004,Synthetic bridge maintenance activity,2026-03-24,2026-08-16,300,COMPLETED,54.3,97.4,34.5,FALSE,66.85,HIGH,TRAFFIC_BLOCK,TRUE,,66.85,RULE_BASED,
TASK_000010,AST_000020,TRD,TESTING,TESTING,SEC_010,LOC_005,Synthetic isolator maintenance activity,2026-06-20,2026-08-23,300,PENDING,63.2,94.9,27.9,TRUE,67.56,HIGH,POWER_BLOCK,TRUE,,67.56,RULE_BASED,
TASK_000011,AST_000021,S&T,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_001,LOC_001,Synthetic point_machine maintenance activity,2026-06-23,2026-10-01,60,CANCELLED,50.8,22.4,55.1,FALSE,38.28,LOW,TRAFFIC_BLOCK,FALSE,,38.28,RULE_BASED,
TASK_000012,AST_000034,ENGINEERING,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_004,LOC_004,Synthetic culvert maintenance activity,2026-07-19,2026-09-03,61,COMPLETED,82.4,100.0,47.3,FALSE,80.67,CRITICAL,TRAFFIC_BLOCK,TRUE,,80.67,RULE_BASED,
TASK_000013,AST_000041,TRD,INSPECTION,INSPECTION,SEC_001,LOC_001,Synthetic feeder maintenance activity,2026-02-23,2026-10-01,30,PENDING,89.8,47.3,64.9,TRUE,61.84,MEDIUM,POWER_BLOCK,FALSE,,61.84,RULE_BASED,
TASK_000014,AST_000048,S&T,REPAIR,REPAIR,SEC_008,LOC_009,Synthetic signal maintenance activity,2026-09-06,2026-10-07,120,PENDING,56.3,3.6,29.0,TRUE,28.03,LOW,SIGNAL_BLOCK,FALSE,DEF_000077,28.03,RULE_BASED,
TASK_000015,AST_000005,TRD,REPLACEMENT,REPLACEMENT,SEC_005,LOC_006,Synthetic ohe maintenance activity,2026-08-25,2026-09-01,120,CANCELLED,56.6,74.4,19.6,FALSE,57.03,MEDIUM,POWER_BLOCK,TRUE,DEF_000214,57.03,RULE_BASED,
TASK_000016,AST_000012,S&T,TESTING,TESTING,SEC_002,LOC_002,Synthetic track_circuit maintenance activity,2026-04-15,2026-10-07,90,PENDING,62.0,75.3,46.7,TRUE,55.96,MEDIUM,SIGNAL_BLOCK,FALSE,DEF_000001,55.96,RULE_BASED,
TASK_000017,AST_000019,ENGINEERING,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_009,LOC_009,Synthetic bridge maintenance activity,2026-01-26,2026-09-11,150,PENDING,79.6,59.8,53.7,TRUE,59.22,MEDIUM,TRAFFIC_BLOCK,FALSE,,59.22,RULE_BASED,
TASK_000018,AST_000026,TRD,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_006,LOC_006,Synthetic isolator maintenance activity,2026-05-15,2026-10-10,240,PENDING,79.3,10.8,27.7,TRUE,37.92,LOW,POWER_BLOCK,FALSE,DEF_000225,37.92,RULE_BASED,
