task_id,resource_id,requirement_type,quantity,mandatory,task_resource_id,required_skill,role
TASK_000001,RES_0007,L1,1,False,TR_000001,L1,LEAD
TASK_000001,RES_0022,L2,1,True,TR_000002,L2,LEAD
TASK_000001,RES_0025,L2,1,True,TR_000003,L2,TECHNICIAN
TASK_000002,RES_0017,L3,1,True,TR_000004,L3,LEAD
TASK_000002,RES_0008,L1,1,True,TR_000005,L1,TECHNICIAN
TASK_000002,RES_0002,L2,1,False,TR_000006,L2,LEAD
TASK_000003,RES_0015,L3,1,False,TR_000007,L3,TECHNICIAN
TASK_000003,RES_0012,L1,1,False,TR_000008,L1,LEAD
TASK_000003,RES_0009,L3,1,True,TR_000009,L3,SUPPORT
TASK_000004,RES_0016,L2,1,True,TR_000010,L2,TECHNICIAN
TASK_000004,RES_0001,L3,1,True,TR_000011,L3,LEAD
TASK_000004,RES_0025,L2,1,True,TR_000012,L2,TECHNICIAN
TASK_000005,RES_0017,L3,1,True,TR_000013,L3,SUPPORT
TASK_000005,RES_0023,L3,1,False,TR_000014,L3,SUPPORT
TASK_000005,RES_0014,L1,1,False,TR_000015,L1,SUPPORT
TASK_000006,RES_0006,L3,1,True,TR_000016,L3,LEAD
TASK_000006,RES_0012,L1,1,False,TR_000017,L1,TECHNICIAN
TASK_000006,RES_0030,L3,1,True,TR_000018,L3,TECHNICIAN
TASK_000007,RES_0001,L3,1,True,TR_000019,L3,TECHNICIAN
TASK_000007,RES_0007,L1,1,True,TR_000020,L1,LEAD
TASK_000007,RES_0004,L1,1,True,TR_000021,L1,TECHNICIAN
TASK_000008,RES_0006,L3,1,False,TR_000022,L3,LEAD
TASK_000008,RES_0003,L2,1,True,TR_000023,L2,LEAD
TASK_000008,RES_0024,L1,1,True,TR_000024,L1,LEAD
TASK_000009,RES_0010,L3,1,True,TR_000025,L3,LEAD
TASK_000009,RES_0016,L2,1,True,TR_000026,L2,LEAD
TASK_000009,RES_0019,L1,1,True,TR_000027,L1,TECHNICIAN
TASK_000010,RES_0029,L1,1,True,TR_000028,L1,SUPPORT
TASK_000010,RES_0017,L3,1,True,TR_000029,L3,LEAD
TASK_000010,RES_0008,L1,1,False,TR_000030,L1,LEAD
