task_id,block_id,required_block_type,minimum_block_duration_min,setup_duration_min,release_duration_min,requires_power_isolation,requires_traffic_block,requires_signal_block
TASK_000001,BLK_0025,TRAFFIC_BLOCK,90,10,5,FALSE,TRUE,FALSE
TASK_000002,BLK_0012,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000003,BLK_0003,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000004,BLK_0010,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000005,BLK_0012,POWER_BLOCK,180,10,5,TRUE,FALSE,FALSE
TASK_000006,BLK_0003,SIGNAL_BLOCK,60,5,5,FALSE,FALSE,TRUE
TASK_000007,BLK_0013,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000008,BLK_0009,SIGNAL_BLOCK,300,10,5,FALSE,FALSE,TRUE
TASK_000009,BLK_0012,TRAFFIC_BLOCK,300,10,5,FALSE,TRUE,FALSE
TASK_000010,BLK_0023,POWER_BLOCK,300,10,5,TRUE,FALSE,FALSE
TASK_000011,BLK_0005,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000012,BLK_0012,TRAFFIC_BLOCK,61,5,5,FALSE,TRUE,FALSE
TASK_000013,BLK_0005,POWER_BLOCK,30,5,5,TRUE,FALSE,FALSE
TASK_000014,BLK_0015,SIGNAL_BLOCK,120,10,5,FALSE,FALSE,TRUE
TASK_000015,BLK_0012,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000016,BLK_0003,SIGNAL_BLOCK,90,10,5,FALSE,FALSE,TRUE
TASK_000017,BLK_0013,TRAFFIC_BLOCK,150,10,5,FALSE,TRUE,FALSE
TASK_000018,BLK_0011,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000019,BLK_0012,SIGNAL_BLOCK,180,10,5,FALSE,FALSE,TRUE
TASK_000020,BLK_0016,TRAFFIC_BLOCK,180,10,5,FALSE,TRUE,FALSE
TASK_000021,BLK_0014,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000022,BLK_0012,TRAFFIC_BLOCK,60,5,5,FALSE,TRUE,FALSE
TASK_000023,BLK_0005,POWER_BLOCK,90,10,5,TRUE,FALSE,FALSE
TASK_000024,BLK_0015,SIGNAL_BLOCK,120,10,5,FALSE,FALSE,TRUE
TASK_000025,BLK_0012,TRAFFIC_BLOCK,45,5,5,FALSE,TRUE,FALSE
TASK_000026,BLK_0005,POWER_BLOCK,120,10,5,TRUE,FALSE,FALSE
TASK_000027,BLK_0018,SIGNAL_BLOCK,75,5,5,FALSE,FALSE,TRUE
TASK_000028,BLK_0007,TRAFFIC_BLOCK,240,10,5,FALSE,TRUE,FALSE
TASK_000029,BLK_0012,SIGNAL_BLOCK,150,10,5,FALSE,FALSE,TRUE
TASK_000030,BLK_0016,TRAFFIC_BLOCK,75,5,5,FALSE,TRUE,FALSE
TASK_000031,BLK_0014,POWER_BLOCK,240,10,5,TRUE,FALSE,FALSE
TASK_000032,BLK_0012,SIGNAL_BLOCK,180,10,5,FALSE,FALSE,TRUE
