block_section_id,block_id,section_id,sequence_order
BS_00001,BLK_0001,SEC_001,1
BS_00002,BLK_0001,SEC_002,2
BS_00003,BLK_0002,SEC_001,1
BS_00004,BLK_0002,SEC_002,2
BS_00005,BLK_0003,SEC_001,1
BS_00006,BLK_0003,SEC_002,2
BS_00007,BLK_0004,SEC_003,1
BS_00008,BLK_0004,SEC_004,2
BS_00009,BLK_0005,SEC_001,1
BS_00010,BLK_0005,SEC_002,2
BS_00011,BLK_0005,SEC_003,3
BS_00012,BLK_0006,SEC_003,1
BS_00013,BLK_0006,SEC_004,2
BS_00014,BLK_0007,SEC_005,1
BS_00015,BLK_0007,SEC_006,2
BS_00016,BLK_0008,SEC_003,1
BS_00017,BLK_0008,SEC_004,2
BS_00018,BLK_0009,SEC_005,1
BS_00019,BLK_0009,SEC_006,2
BS_00020,BLK_0010,SEC_007,1
BS_00021,BLK_0010,SEC_008,2
BS_00022,BLK_0011,SEC_005,1
BS_00023,BLK_0011,SEC_006,2
BS_00024,BLK_0012,SEC_003,1
BS_00025,BLK_0012,SEC_004,2
BS_00026,BLK_0012,SEC_005,3
BS_00027,BLK_0013,SEC_009,1
BS_00028,BLK_0014,SEC_007,1
BS_00029,BLK_0014,SEC_008,2
BS_00030,BLK_0015,SEC_007,1
BS_00031,BLK_0015,SEC_008,2
BS_00032,BLK_0016,SEC_010,1
BS_00033,BLK_0017,SEC_009,1
BS_00034,BLK_0018,SEC_009,1
BS_00035,BLK_0019,SEC_002,1
BS_00036,BLK_0019,SEC_003,2
BS_00037,BLK_0020,SEC_005,1
BS_00038,BLK_0020,SEC_006,2
BS_00039,BLK_0020,SEC_007,3
BS_00040,BLK_0021,SEC_010,1
BS_00041,BLK_0022,SEC_004,1
BS_00042,BLK_0022,SEC_005,2
BS_00043,BLK_0023,SEC_010,1
BS_00044,BLK_0024,SEC_004,1
BS_00045,BLK_0024,SEC_005,2
BS_00046,BLK_0025,SEC_006,1
BS_00047,BLK_0025,SEC_007,2
