window_id,section_id,block_id,start_time,end_time,duration_min,block_type,available,status,source
WIN_0001,SEC_001,BLK_0001,2026-09-14 00:00:00,2026-09-14 01:00:00,60,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0002,SEC_001,BLK_0001,2026-09-14 04:00:00,2026-09-14 05:30:00,90,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0003,SEC_001,BLK_0001,2026-09-14 08:00:00,2026-09-14 10:00:00,120,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0004,SEC_001,BLK_0001,2026-09-14 12:00:00,2026-09-14 15:00:00,180,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0005,SEC_001,BLK_0001,2026-09-14 16:00:00,2026-09-14 20:00:00,240,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0006,SEC_001,BLK_0001,2026-09-14 20:00:00,2026-09-15 01:00:00,300,TRAFFIC_BLOCK,FALSE,UNAVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0007,SEC_001,BLK_0002,2026-09-15 00:00:00,2026-09-15 01:00:00,60,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0008,SEC_001,BLK_0002,2026-09-15 04:00:00,2026-09-15 05:30:00,90,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0009,SEC_001,BLK_0002,2026-09-15 08:00:00,2026-09-15 10:00:00,120,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0010,SEC_001,BLK_0002,2026-09-15 12:00:00,2026-09-15 15:00:00,180,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0011,SEC_001,BLK_0002,2026-09-15 16:00:00,2026-09-15 20:00:00,240,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0012,SEC_001,BLK_0002,2026-09-15 20:00:00,2026-09-16 01:00:00,300,POWER_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0013,SEC_001,BLK_0003,2026-09-16 00:00:00,2026-09-16 01:00:00,60,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0014,SEC_001,BLK_0003,2026-09-16 04:00:00,2026-09-16 05:30:00,90,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
WIN_0015,SEC_001,BLK_0003,2026-09-16 08:00:00,2026-09-16 10:00:00,120,SIGNAL_BLOCK,TRUE,AVAILABLE,SYNTHETIC_BLOCK_WINDOW
