block_id,block_name,block_type,controlling_department,start_location_id,end_location_id,max_duration_min,operational_constraints,status
BLK_0001,Synthetic Block 01,TRAFFIC_BLOCK,ENGINEERING,LOC_001,LOC_003,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",UNAVAILABLE
BLK_0002,Synthetic Block 02,POWER_BLOCK,TRD,LOC_001,LOC_003,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",RESTRICTED
BLK_0003,Synthetic Block 03,SIGNAL_BLOCK,S&T,LOC_001,LOC_003,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",AVAILABLE
BLK_0004,Synthetic Block 04,TRAFFIC_BLOCK,ENGINEERING,LOC_003,LOC_005,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",AVAILABLE
BLK_0005,Synthetic Block 05,COMBINED_BLOCK,TRD,LOC_001,LOC_004,420,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",RESTRICTED
BLK_0006,Synthetic Block 06,SIGNAL_BLOCK,S&T,LOC_003,LOC_005,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",AVAILABLE
BLK_0007,Synthetic Block 07,TRAFFIC_BLOCK,ENGINEERING,LOC_005,LOC_007,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",AVAILABLE
BLK_0008,Synthetic Block 08,POWER_BLOCK,TRD,LOC_003,LOC_005,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",AVAILABLE
BLK_0009,Synthetic Block 09,SIGNAL_BLOCK,S&T,LOC_005,LOC_007,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",AVAILABLE
BLK_0010,Synthetic Block 10,TRAFFIC_BLOCK,ENGINEERING,LOC_007,LOC_009,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",RESTRICTED
BLK_0011,Synthetic Block 11,POWER_BLOCK,TRD,LOC_005,LOC_007,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",AVAILABLE
BLK_0012,Synthetic Block 12,COMBINED_BLOCK,S&T,LOC_003,LOC_006,420,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",AVAILABLE
BLK_0013,Synthetic Block 13,TRAFFIC_BLOCK,ENGINEERING,LOC_009,LOC_010,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",AVAILABLE
BLK_0014,Synthetic Block 14,POWER_BLOCK,TRD,LOC_007,LOC_009,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",AVAILABLE
BLK_0015,Synthetic Block 15,SIGNAL_BLOCK,S&T,LOC_007,LOC_009,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",RESTRICTED
BLK_0016,Synthetic Block 16,TRAFFIC_BLOCK,ENGINEERING,LOC_005,LOC_011,360,"Synthetic prototype rules: train conflicts, resource availability, dependencies and isolation rules apply. RESTRICTED requires authorized approval; UNAVAILABLE cannot be selected.",AVAILABLE
