window_section_id,window_id,section_id
WS_00001,WIN_0001,SEC_001
WS_00002,WIN_0001,SEC_002
WS_00003,WIN_0002,SEC_001
WS_00004,WIN_0002,SEC_002
WS_00005,WIN_0003,SEC_001
WS_00006,WIN_0003,SEC_002
WS_00007,WIN_0004,SEC_001
WS_00008,WIN_0004,SEC_002
WS_00009,WIN_0005,SEC_001
WS_00010,WIN_0005,SEC_002
WS_00011,WIN_0006,SEC_001
WS_00012,WIN_0006,SEC_002
WS_00013,WIN_0007,SEC_001
WS_00014,WIN_0007,SEC_002
WS_00015,WIN_0008,SEC_001
WS_00016,WIN_0008,SEC_002
WS_00017,WIN_0009,SEC_001
WS_00018,WIN_0009,SEC_002
WS_00019,WIN_0010,SEC_001
WS_00020,WIN_0010,SEC_002
WS_00021,WIN_0011,SEC_001
WS_00022,WIN_0011,SEC_002
WS_00023,WIN_0012,SEC_001
WS_00024,WIN_0012,SEC_002
WS_00025,WIN_0013,SEC_001
WS_00026,WIN_0013,SEC_002
WS_00027,WIN_0014,SEC_001
WS_00028,WIN_0014,SEC_002
WS_00029,WIN_0015,SEC_001
WS_00030,WIN_0015,SEC_002
WS_00031,WIN_0016,SEC_001
WS_00032,WIN_0016,SEC_002
WS_00033,WIN_0017,SEC_001
WS_00034,WIN_0017,SEC_002
WS_00035,WIN_0018,SEC_001
WS_00036,WIN_0018,SEC_002
WS_00037,WIN_0019,SEC_003
WS_00038,WIN_0019,SEC_004
WS_00039,WIN_0020,SEC_003
WS_00040,WIN_0020,SEC_004
WS_00041,WIN_0021,SEC_003
WS_00042,WIN_0021,SEC_004
WS_00043,WIN_0022,SEC_003
WS_00044,WIN_0022,SEC_004
WS_00045,WIN_0023,SEC_003
WS_00046,WIN_0023,SEC_004
WS_00047,WIN_0024,SEC_003
WS_00048,WIN_0024,SEC_004
WS_00049,WIN_0025,SEC_001
WS_00050,WIN_0025,SEC_002
WS_00051,WIN_0025,SEC_003
WS_00052,WIN_0026,SEC_001
WS_00053,WIN_0026,SEC_002
