movement_id,train_id,train_type,section_id,entry_time,exit_time,direction,priority,is_freight,scheduled_or_forecast,forecast_confidence,movement_status
MOV_000001,SYN_TRAIN_0001,PASSENGER,SEC_001,2026-09-14 01:15:00,2026-09-14 01:40:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000002,SYN_TRAIN_0002,PASSENGER,SEC_002,2026-09-15 17:15:00,2026-09-15 17:40:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000003,SYN_TRAIN_0003,PASSENGER,SEC_004,2026-09-17 09:15:00,2026-09-17 09:40:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000004,SYN_TRAIN_0004,PASSENGER,SEC_006,2026-09-19 01:15:00,2026-09-19 01:40:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000005,SYN_TRAIN_0005,PASSENGER,SEC_007,2026-09-20 17:15:00,2026-09-20 17:40:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000006,SYN_TRAIN_0006,PASSENGER,SEC_008,2026-09-15 21:05:00,2026-09-15 21:25:00,UP,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000007,SYN_TRAIN_0007,EXPRESS,SEC_006,2026-09-15 06:55:00,2026-09-15 07:15:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000008,SYN_TRAIN_0008,FREIGHT,SEC_006,2026-09-15 17:20:00,2026-09-15 17:45:00,DOWN,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000009,SYN_TRAIN_0009,EXPRESS,SEC_010,2026-09-14 16:15:00,2026-09-14 16:45:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000010,SYN_TRAIN_0010,FREIGHT,SEC_006,2026-09-19 08:15:00,2026-09-19 08:23:00,DOWN,LOW,TRUE,SCHEDULED,1.000,PLANNED
MOV_000011,SYN_TRAIN_0011,MAINTENANCE,SEC_005,2026-09-17 00:55:00,2026-09-17 01:03:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000012,SYN_TRAIN_0012,PASSENGER,SEC_004,2026-09-19 18:55:00,2026-09-19 19:00:00,DOWN,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000013,SYN_TRAIN_0013,PASSENGER,SEC_003,2026-09-17 13:35:00,2026-09-17 13:43:00,UP,HIGH,FALSE,SCHEDULED,1.000,PLANNED
MOV_000014,SYN_TRAIN_0014,PASSENGER,SEC_002,2026-09-18 18:10:00,2026-09-18 18:18:00,UP,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
MOV_000015,SYN_TRAIN_0015,FREIGHT,SEC_002,2026-09-15 18:20:00,2026-09-15 18:28:00,UP,HIGH,TRUE,SCHEDULED,1.000,PLANNED
MOV_000016,SYN_TRAIN_0016,OTHER,SEC_005,2026-09-20 20:00:00,2026-09-20 20:25:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000017,SYN_TRAIN_0017,EXPRESS,SEC_003,2026-09-15 23:05:00,2026-09-15 23:15:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000018,SYN_TRAIN_0018,FREIGHT,SEC_008,2026-09-20 15:40:00,2026-09-20 15:48:00,DOWN,HIGH,TRUE,SCHEDULED,1.000,PLANNED
MOV_000019,SYN_TRAIN_0019,MAINTENANCE,SEC_009,2026-09-14 05:00:00,2026-09-14 05:10:00,DOWN,LOW,FALSE,SCHEDULED,1.000,PLANNED
MOV_000020,SYN_TRAIN_0020,OTHER,SEC_005,2026-09-20 19:35:00,2026-09-20 19:55:00,DOWN,MEDIUM,FALSE,SCHEDULED,1.000,PLANNED
