record_id,asset_id,department,task_type,criticality,urgency,operational_impact,previous_defects,maintenance_frequency,estimated_duration,actual_duration,delay_to_completion,was_overdue,repeat_defect,weather_risk,previous_failure_indicator,defect_severity,final_priority
HIST_000001,AST_000017,TRD,INSPECTION,66.6,72.3,34.2,5,2,180,155,0,FALSE,TRUE,0.752,True,LOW,58.64
HIST_000002,AST_000034,ENGINEERING,REPAIR,82.4,16.2,28.0,2,1,60,50,0,FALSE,TRUE,0.218,False,HIGH,45.62
HIST_000003,AST_000001,ENGINEERING,REPLACEMENT,50.3,0.4,27.4,3,11,180,163,0,FALSE,TRUE,0.82,False,MEDIUM,28.17
HIST_000004,AST_000018,S&T,TESTING,94.2,97.7,26.8,1,1,150,175,15,TRUE,TRUE,0.389,False,MEDIUM,65.55
HIST_000005,AST_000035,TRD,PREVENTIVE_MAINTENANCE,84.2,100.0,25.2,1,4,60,68,5,TRUE,TRUE,0.102,False,LOW,59.05
HIST_000006,AST_000002,TRD,CORRECTIVE_MAINTENANCE,63.8,100.0,40.0,4,1,60,74,8,TRUE,TRUE,0.443,False,CRITICAL,67.14
HIST_000007,AST_000019,ENGINEERING,INSPECTION,79.6,30.4,28.8,3,3,60,62,1,TRUE,TRUE,0.375,False,CRITICAL,52.24
HIST_000008,AST_000036,S&T,REPAIR,78.2,6.1,58.4,5,10,240,253,8,TRUE,TRUE,0.845,True,MEDIUM,54.16
HIST_000009,AST_000003,S&T,REPLACEMENT,55.7,89.5,64.4,5,7,45,45,0,FALSE,TRUE,0.761,False,HIGH,63.22
HIST_000010,AST_000020,TRD,TESTING,63.2,51.7,28.4,2,8,240,217,0,FALSE,TRUE,0.182,False,CRITICAL,52.56
HIST_000011,AST_000037,ENGINEERING,PREVENTIVE_MAINTENANCE,81.9,0.7,32.8,0,6,150,151,1,TRUE,FALSE,0.819,False,CRITICAL,46.3
HIST_000012,AST_000004,ENGINEERING,CORRECTIVE_MAINTENANCE,87.4,100.0,50.6,4,11,180,153,0,FALSE,TRUE,0.741,False,CRITICAL,76.34
HIST_000013,AST_000021,S&T,INSPECTION,42.9,21.7,49.7,3,2,240,196,0,FALSE,TRUE,0.703,False,CRITICAL,43.23
HIST_000014,AST_000038,TRD,REPAIR,95.1,99.4,36.0,0,4,240,270,18,TRUE,FALSE,0.299,False,HIGH,71.83
HIST_000015,AST_000005,TRD,REPLACEMENT,56.6,0.0,20.4,4,9,150,184,20,TRUE,TRUE,0.667,True,LOW,34.81
HIST_000016,AST_000022,ENGINEERING,TESTING,76.5,22.5,50.9,2,4,240,232,0,FALSE,TRUE,0.592,False,LOW,42.5
HIST_000017,AST_000039,S&T,PREVENTIVE_MAINTENANCE,91.8,50.3,38.9,5,11,180,213,20,TRUE,TRUE,0.083,False,CRITICAL,62.89
HIST_000018,AST_000006,S&T,CORRECTIVE_MAINTENANCE,94.3,39.9,13.1,0,10,150,150,0,FALSE,FALSE,0.821,False,MEDIUM,48.38
HIST_000019,AST_000023,TRD,INSPECTION,55.6,36.5,58.2,2,2,180,190,6,TRUE,TRUE,0.228,False,CRITICAL,52.45
HIST_000020,AST_000040,ENGINEERING,REPAIR,49.9,49.9,70.1,4,4,75,90,9,TRUE,TRUE,0.219,False,HIGH,52.72
HIST_000021,AST_000007,ENGINEERING,REPLACEMENT,52.8,73.1,43.5,4,10,30,24,0,FALSE,TRUE,0.147,False,CRITICAL,57.81
HIST_000022,AST_000024,S&T,TESTING,66.7,12.0,19.5,1,5,60,61,1,TRUE,TRUE,0.177,True,MEDIUM,44.41
HIST_000023,AST_000041,TRD,PREVENTIVE_MAINTENANCE,89.8,100.0,44.4,3,12,180,158,0,FALSE,TRUE,0.909,False,CRITICAL,75.82
HIST_000024,AST_000008,TRD,CORRECTIVE_MAINTENANCE,88.0,97.6,58.6,4,12,240,192,0,FALSE,TRUE,0.712,False,MEDIUM,70.02
HIST_000025,AST_000025,ENGINEERING,INSPECTION,94.7,52.4,34.9,4,2,30,26,0,FALSE,TRUE,0.552,False,LOW,52.24
HIST_000026,AST_000042,S&T,REPAIR,44.5,0.0,48.8,4,4,240,242,1,TRUE,TRUE,0.137,False,CRITICAL,38.11
HIST_000027,AST_000009,S&T,INSPECTION,89.0,47.3,64.9,0,11,30,25,0,FALSE,FALSE,0.125,False,LOW,55.26
HIST_000028,AST_000026,TRD,REPAIR,79.3,14.6,21.0,0,7,180,202,13,TRUE,FALSE,0.063,False,CRITICAL,46.64
HIST_000029,AST_000043,ENGINEERING,REPLACEMENT,70.1,82.3,52.2,1,2,30,33,2,TRUE,TRUE,0.176,True,MEDIUM,69.55
HIST_000030,AST_000010,ENGINEERING,TESTING,83.3,17.1,47.2,2,3,240,207,0,FALSE,TRUE,0.659,False,MEDIUM,46.2
HIST_000031,AST_000027,S&T,PREVENTIVE_MAINTENANCE,50.8,0.0,50.4,1,12,120,130,6,TRUE,TRUE,0.905,False,LOW,29.07
HIST_000032,AST_000044,TRD,CORRECTIVE_MAINTENANCE,56.3,100.0,41.6,3,4,60,50,0,FALSE,TRUE,0.922,False,LOW,53.96
HIST_000033,AST_000011,TRD,INSPECTION,69.6,59.0,71.2,5,8,120,150,18,TRUE,TRUE,0.177,False,LOW,53.62
HIST_000034,AST_000028,ENGINEERING,REPAIR,49.5,0.0,24.2,5,6,180,164,0,FALSE,TRUE,0.743,False,MEDIUM,27.19
HIST_000035,AST_000045,S&T,REPLACEMENT,42.3,68.1,19.7,2,7,45,51,4,TRUE,TRUE,0.571,False,CRITICAL,48.65
HIST_000036,AST_000012,S&T,TESTING,62.0,0.0,42.3,2,8,75,86,7,TRUE,TRUE,0.661,True,CRITICAL,52.06
HIST_000037,AST_000029,TRD,PREVENTIVE_MAINTENANCE,88.2,100.0,29.4,3,11,60,50,0,FALSE,TRUE,0.796,False,HIGH,68.59
HIST_000038,AST_000046,ENGINEERING,CORRECTIVE_MAINTENANCE,52.0,99.7,53.3,0,6,240,287,28,TRUE,FALSE,0.559,False,CRITICAL,66.19
HIST_000039,AST_000013,ENGINEERING,INSPECTION,54.3,42.9,53.3,5,12,120,98,0,FALSE,TRUE,0.824,False,LOW,41.42
HIST_000040,AST_000030,S&T,REPAIR,88.6,80.3,24.4,2,10,150,122,0,FALSE,TRUE,0.025,False,HIGH,62.79
HIST_000041,AST_000047,TRD,REPLACEMENT,84.5,100.0,26.0,3,12,240,251,7,TRUE,TRUE,0.157,False,CRITICAL,70.55
HIST_000042,AST_000014,TRD,TESTING,44.4,2.2,72.9,4,12,90,103,8,TRUE,TRUE,0.449,False,CRITICAL,43.45
HIST_000043,AST_000031,ENGINEERING,PREVENTIVE_MAINTENANCE,40.4,21.8,50.1,5,1,30,27,0,FALSE,TRUE,0.483,True,MEDIUM,45.09
HIST_000044,AST_000048,S&T,CORRECTIVE_MAINTENANCE,56.3,0.0,25.0,0,3,45,54,5,TRUE,FALSE,0.323,False,CRITICAL,36.89
HIST_000045,AST_000015,S&T,INSPECTION,53.9,0.0,75.9,1,8,180,173,0,FALSE,TRUE,0.642,False,MEDIUM,38.85
HIST_000046,AST_000032,TRD,REPAIR,72.1,21.9,54.3,4,4,240,247,4,TRUE,TRUE,0.333,False,HIGH,49.21
HIST_000047,AST_000049,ENGINEERING,REPLACEMENT,67.6,21.4,56.0,4,5,90,93,2,TRUE,TRUE,0.948,False,CRITICAL,51.83
HIST_000048,AST_000016,ENGINEERING,TESTING,55.3,71.7,47.2,0,2,120,121,1,TRUE,FALSE,0.691,False,LOW,47.7
HIST_000049,AST_000033,S&T,PREVENTIVE_MAINTENANCE,80.7,39.9,17.4,1,1,180,212,19,TRUE,TRUE,0.488,False,MEDIUM,45.16
HIST_000050,AST_000050,TRD,CORRECTIVE_MAINTENANCE,88.2,0.0,34.1,3,5,240,210,0,FALSE,TRUE,0.986,True,CRITICAL,58.28
HIST_000051,AST_000017,TRD,INSPECTION,66.6,0.0,40.3,3,6,240,232,0,FALSE,TRUE,0.681,False,CRITICAL,43.04
HIST_000052,AST_000034,ENGINEERING,REPAIR,82.4,41.9,28.4,1,2,180,164,0,FALSE,TRUE,0.428,False,MEDIUM,48.38
